SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-NAG-AA07-0509-02,TAG WO MS,,PJ,EL,E45BL00AB0B0-400,400,,,,E45BL00AB0B0,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-PAS-AZ02-0729-14,TAG WO MS,,PJ,EL,E45BL00AB0B0-50,50,,,,E45BL00AB0B0,ELBOW 45 DEG. LR BW SMLS SCH.STD A234-WPB,1,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-WPD-AP12-0602-09,TAG WO MS,,PJ,EL,E45BP00DA0C0-150,150,,,,E45BP00DA0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304,1,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-WDW-AP11-0832-01,TAG WO MS,,PJ,EL,E45BP00DB0C0-400,400,,,,E45BP00DB0C0,ELBOW 45 DEG. LR BW WLD SCH.10S A403-WP304L,1,EA,
ISO,P,SITE,2000310,PP5120P110,MD-512-09MA-ISO-PAS-AZ02-0920-01,TAG WO MS,,PJ,EL,E90BL00AB0B0-50,50,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-NAG-AA07-0510-06,TAG WO MS,,PJ,EL,E90BL00AB0B0-200,200,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-DFL-AA06-0506-08,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-PAS-AZ02-0729-07,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-PAS-AZ02-0729-09,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SCL-AA06-0301-13,TAG WO MS,,PJ,EL,E90BL00AB0B0-300,300,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
