SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000312,PP5120P116,MD-512-09MA-ISO-SQM-AA19-0009J-14,TAG WO MS,,PJ,EL,BROS0H0A1000-300-25,300,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,7,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-05,TAG WO MS,,PJ,EL,BROS0H0A1000-100-20,100,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,2,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-06,TAG WO MS,,PJ,EL,BROS0H0A1000-100-20,100,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-05,TAG WO MS,,PJ,EL,BROS0H0A1000-100-25,100,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,3,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SCL-AA06-0744-04,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,5,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SCL-AA06-0744-05,TAG WO MS,,PJ,EL,BROS0H0A1000-50-25,50,25,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,4,EA,
ISO,P,SITE,2415301,PP5120T68,MD-512-09MA-ISO-SLP-AA06-0218-21,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2415301,PP5120T68,MD-512-09MA-ISO-SLP-AA06-0218-23,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2410301,PP5120R83,MD-512-09MA-ISO-SLP-AA06-0218-34,TAG WO MS,,PJ,EL,BROS0H0A1000-50-20,50,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000307,PP5120P11,MD-512-71H0-ISO-SLP-AA06-0933-01,TAG WO MS,,PJ,EL,BROS0H0A1000-100-20,100,20,,,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-WPD-AP12-0501-20,TAG WO MS,,PJ,EL,BROS0H0DA000-80-40,80,40,,,BROS0H0DA000,BRANCH OUTLET SW CL. 3000 A182-F304,1,EA,
ISO,P,SITE,2000307,PP5120P14,MD-512-72U0-ISO-WPD-AP12-0501-24,TAG WO MS,,PJ,EL,BROS0H0DA000-80-40,80,40,,,BROS0H0DA000,BRANCH OUTLET SW CL. 3000 A182-F304,2,EA,
