SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WH-ISO-PAS-AZ02-0204-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P03,MD-512-72D0-ISO-PAS-AZ02-0705-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,3,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WH-ISO-PAS-AZ02-0205-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-PAS-AZ02-0505-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,7,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,1.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-PAS-AZ02-2207-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000307,PP5120P04,MD-512-72D0-ISO-PAS-AZ02-0707-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,4,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-PAS-AZ02-0719-03,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,7,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,6.0,EA,
ISO,P,SITE,2535301,PP5120P38,MD-512-09MA-ISO-PAS-AZ02-0915-02,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,8,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,4.0,EA,
ISO,P,SITE,2580301,PP5120P39,MD-512-09MA-ISO-PAS-AZ02-0720-04,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,9,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000310,PP5120P35,MD-512-09MA-ISO-PAS-AZ02-0721-02,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,5,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,2.0,EA,
ISO,P,SITE,2000310,PP5120P34,MD-512-09MA-ISO-PAS-AZ02-0725-02,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,4,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,3.0,EA,
