SOURCETYPE,DISIPLINE,MASTER REF,UNIT,AREA,ISO,ITR,IDENTCODE,GROUP,PART,TAGNUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT DESC,DESCRIPTION,QTY,UNIT,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-150,150,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,193,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-200,200,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,25,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-250,250,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,28,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-300,300,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,221,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-350,350,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,15,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-400,400,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,88,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0B0-450,450,, ,210,E90BL00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0C0-450,450,, ,210,E90BL00AB0C0                                      ,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,39,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0C0-500,500,, ,210,E90BL00AB0C0                                      ,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,4,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0C0-600,600,, ,210,E90BL00AB0C0                                      ,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,9,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0C0-650,650,, ,210,E90BL00AB0C0                                      ,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,7,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BL00AB0C0-750,750,, ,210,E90BL00AB0C0                                      ,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,15,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BM00AB0B0-100,100,, ,210,E90BM00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BM00AB0B0-150,150,, ,210,E90BM00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BM00AB0B0-250,250,, ,210,E90BM00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90BM00AB0B0-300,300,, ,210,E90BM00AB0B0                                      ,ELBOW 90 DEG. LR BW SMLS SCH.XS A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90S0H0A1000-20,20,, ,210,E90S0H0A1000                                      ,ELBOW 90 DEG. SW CL. 3000 A105,397,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90S0H0A1000-25,25,, ,210,E90S0H0A1000                                      ,ELBOW 90 DEG. SW CL. 3000 A105,1177,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90S0H0A1000-40,40,, ,210,E90S0H0A1000                                      ,ELBOW 90 DEG. SW CL. 3000 A105,13,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E90T0H0A7000-25,25,, ,210,E90T0H0A7000                                      ,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,143,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E9SBA00AB0C0-600,600,, ,210,E9SBA00AB0C0                                      ,ELBOW 90 DEG. SR BW WLD SCH.10 A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E9SBL00AB0C0-80,80,, ,210,E9SBL00AB0C0                                      ,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E9SBL00AB0C0-150,150,, ,210,E9SBL00AB0C0                                      ,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,0,EA,
