PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION,RECORD_TYPE,MODEL_CODE,ISODRAWINGSATTR1
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0502OFL20,AA06_J,3,EA,GKFR0A0Z3000,0,C01,D,4/17/2015,,MM,,,1,S,GASKET FLAT RING CL. 150 CNAF,GASK,,209MA0502OFL20
NL006945,P,SITE,ISO,09MA,PP5120P27,209MA0030ASC19,AQ14_J,41,M,PIPEQ00D10B0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0030ASC19
NL006945,P,SITE,ISO,09MA,PP5120P25,209MA0502OFL03,AA06_J,36,M,PIPEL00AA0C0,0,C01,D,4/17/2015,100,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,PIPE,209MA0502OFL03
NL006945,P,SITE,ISO,09MA,PP5120P25,209MA0322SCL11,AA06_J,1,EA,FLBL0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE BLIND CL. 150 RF A105,COMP,FBLD,209MA0322SCL11
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA0008ASC07,AQ14_J,6,EA,E90BQ00D20B0,0,C01,D,4/17/2015,150,MM,,,1,S,ELBOW 90 DEG. LR BW SMLS SCH.40S A403-WP316/316L,COMP,E90LR,209MA0008ASC07
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA1004WBB04,AA06_J,31.4,M,PIPEL00AA0C0,0,C01,D,4/17/2015,80,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,PIPE,209MA1004WBB04
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA0008ASC04,AQ14_J,49.4,M,PIPEQ00D10B0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0008ASC04
NL006945,P,SITE,ISO,09MA,PP5120P18,209MA1306CWR02,AA02_J,33.3,M,PIPEL00AA0B0,0,C01,D,4/17/2015,300,MM,,,1,S,PIPE SMLS SCH.STD A53-GR.B,PIPE,PIPE,209MA1306CWR02
NL006945,P,SITE,ISO,09MA,PP5120P25,209MA0322SCL09,AA06_J,2,EA,FLBL0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE BLIND CL. 150 RF A105,COMP,FBLD,209MA0322SCL09
NL006945,P,SITE,ISO,09MA,PP5120P34,209MA0204SLP13,AA06_J,1,EA,PNPPM00AB050,0,C01,D,4/17/2015,20,MM,,,1,S,PIPE NIPPLE PBE L = 175 MM SCH.XS A106-GR.B,COMP,NIP,209MA0204SLP13
NL006945,P,SITE,ISO,09MA,PP5120P35,209MA0101RAF20,AS03_J,2,EA,E90S0H0D5000,0,C01,D,4/17/2015,25,MM,,,1,S,ELBOW 90 DEG. SW CL. 3000 A182-F904L,COMP,E90,209MA0101RAF20
NL006945,P,SITE,ISO,09MA,PP5120P26,209MA0602WPD56,AP12_J,21.5,M,PIPEP00DA0C0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE WLD SCH.10S A312-TP304,PIPE,FPIPE,209MA0602WPD56
NL006945,P,SITE,ISO,09MA,PP5120P24,209MA0602WPD74,AP12_J,2,EA,BROS0H0DA000,0,C01,D,4/17/2015,150,MM,,,1,S,BRANCH OUTLET SW CL. 3000 A182-F304,COMP,SOL,209MA0602WPD74
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0602WPD46,AP12_J,36,M,PIPEP00DA0C0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE WLD SCH.10S A312-TP304,PIPE,FPIPE,209MA0602WPD46
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA1103CSS01,AA11_J,12.1,M,PIPEL00AA0C0,0,C01,D,4/17/2015,80,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,FPIPE,209MA1103CSS01
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0306WDW07,AP11_J,0.2,M,PIPEQ00DB0B0,0,C01,D,4/17/2015,20,MM,,,1,S,PIPE SMLS SCH.40S A312-TP304L,PIPE,FPIPE,209MA0306WDW07
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0030ASC23,AQ14_J,1,EA,FLWNQAAD3000,0,C01,D,4/17/2015,25,MM,,,1,S,FLANGE WELDING NECK CL. 150 RF SCH.40S A182-F316/316L,COMP,FWN,209MA0030ASC23
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0301SCL21,AA06_J,1,EA,GKFR0A0Z3000,0,C01,D,4/17/2015,,MM,,,1,S,GASKET FLAT RING CL. 150 CNAF,GASK,,209MA0301SCL21
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0314SCL14,AA06_J,2,EA,FLSW0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE SW CL. 150 RF A105,COMP,FSW,209MA0314SCL14
NL006945,P,SITE,ISO,09MA,PP5120P24,209MA0322SCL16,AA06_J,1,EA,FLSW0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE SW CL. 150 RF A105,COMP,FSW,209MA0322SCL16
NL006945,P,SITE,ISO,09MA,PP5120P27,209MA0202SLP05,AA06_J,4,EA,E90BL00AB0C0,0,C01,D,4/17/2015,450,MM,,,1,S,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,COMP,E90LR,209MA0202SLP05
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA1306CWR29,AA02_J,1,EA,BROT0H0A1000,0,C01,D,4/17/2015,300,MM,,,1,S,BRANCH OUTLET THRD CL. 3000 A105,COMP,TOL,209MA1306CWR29
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0912PAS17,AZ02_J,1,EA,REEBLL0AB0B0,0,C01,D,4/17/2015,100,MM,,,1,S,REDUCER ECC. BW SMLS SCH.STD X SCH.STD A234-WPB,COMP,REDE,209MA0912PAS17
NL006945,P,SITE,ISO,09MA,PP5120P19,209MA0925PAS01,AZ02_J,2,EA,GKFR0A0Z3000,0,C01,D,4/17/2015,,MM,,,1,S,GASKET FLAT RING CL. 150 CNAF,GASK,,209MA0925PAS01
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0306WDW07,AP11_J,6,EA,E90BP00DB0C0,0,C01,D,4/17/2015,300,MM,,,1,S,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304L,COMP,E90LR,209MA0306WDW07
NL006945,P,SITE,ISO,09MA,PP5120P25,209MA0502OFL04,AA06_J,3,EA,GKFR0A0Z3000,0,C01,D,4/17/2015,,MM,,,1,S,GASKET FLAT RING CL. 150 CNAF,GASK,,209MA0502OFL04
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0006ASC16,AQ14_J,34,M,PIPEQ00D10B0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0006ASC16
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0729PAS03,AZ02_J,1,EA,FLWNLAAA1000,0,C01,D,4/17/2015,150,MM,,,1,S,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,COMP,FWN,209MA0729PAS03
NL006945,P,SITE,ISO,09MA,PP5120P34,209MA0204SLP13,AA06_J,1,EA,FLBL0AAA1000,0,C01,D,4/17/2015,20,MM,,,1,S,FLANGE BLIND CL. 150 RF A105,COMP,FBLD,209MA0204SLP13
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0201SLP07,AA06_J,53.4,M,PIPEL00AA0C0,0,C01,D,4/17/2015,600,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,FPIPE,209MA0201SLP07
NL006945,P,SITE,ISO,09MA,PP5120P35,209MA0721PAS01,AZ02_J,8,EA,FLWNLAAA1000,0,C01,D,4/17/2015,150,MM,,,1,S,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,COMP,FWN,209MA0721PAS01
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0602WPD05,AP12_J,6,EA,E90BP00DA0C0,0,C01,D,4/17/2015,150,MM,,,1,S,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304,COMP,E90LR,209MA0602WPD05
NL006945,P,SITE,ISO,09MA,PP5120P25,209MA0212SLP07,AA06_J,1,EA,BROS0H0A1000,0,C01,D,4/17/2015,50,MM,,,1,S,BRANCH OUTLET SW CL. 3000 A105,COMP,SOL,209MA0212SLP07
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0912PAS01,AZ02_J,1,EA,TEEBL00AB0B0,0,C01,D,4/17/2015,150,MM,150,MM,1,S,TEE EQUAL BW SMLS SCH.STD A234-WPB,COMP,T,209MA0912PAS01
NL006945,P,SITE,ISO,09MA,PP5120P19,209MA0925PAS01,AZ02_J,4,M,PIPEL00AW0C0,0,C01,D,4/17/2015,50,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B GALV.,PIPE,PIPE,209MA0925PAS01
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA1306CWR15,AA02_J,33,M,PIPEL00AA0B0,0,C01,D,4/17/2015,300,MM,,,1,S,PIPE SMLS SCH.STD A53-GR.B,PIPE,PIPE,209MA1306CWR15
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0030ASC06,AQ14_J,34,M,PIPEQ00D10B0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0030ASC06
NL006945,P,SITE,ISO,09MA,PP5120P24,209MA0506DFL07,AA06_J,1,EA,ABARXB,0,C01,D,4/17/2015,25,MM,,,1,S,VALVE BALL FB FLGD CL. 150 RF CS BODY,COMP,BALLP,209MA0506DFL07
NL006945,P,SITE,ISO,09MA,PP5120P34,209MA0510NAG10,AA07_J,22.5,M,PIPEL00AA0C0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,PIPE,209MA0510NAG10
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0602WPD48,AP12_J,34,M,PIPEP00DA0C0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE WLD SCH.10S A312-TP304,PIPE,FPIPE,209MA0602WPD48
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA1101CSS15,AA11_J,1,EA,REEBLL0AB0B0,0,C01,D,4/17/2015,150,MM,,,1,S,REDUCER ECC. BW SMLS SCH.STD X SCH.STD A234-WPB,COMP,REDE,209MA1101CSS15
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0006ASC22,AQ14_J,2,EA,GKFR0A0Z1000,0,C01,D,4/17/2015,,MM,,,1,S,"GASKET FLAT RING CL. 150 REINFORCED PTFE, GARLOCK GYLON BLUE, STYLE 3504",GASK,,209MA0006ASC22
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA1301CWS10,AA02_J,36.5,M,PIPEL00AA0B0,0,C01,D,4/17/2015,300,MM,,,1,S,PIPE SMLS SCH.STD A53-GR.B,PIPE,PIPE,209MA1301CWS10
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA1306CWR13,AA02_J,1,EA,PLHT000A1000,0,C01,D,4/17/2015,20,MM,,,1,S,PLUG HEX. HEAD THRD A105,COMP,PLUG,209MA1306CWR13
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0310SCL03,AA06_J,3,EA,GKFR0A0Z3000,0,C01,D,4/17/2015,,MM,,,1,S,GASKET FLAT RING CL. 150 CNAF,GASK,,209MA0310SCL03
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0506DFL14,AA06_J,1,EA,ABARXB,0,C01,D,4/17/2015,25,MM,,,1,S,VALVE BALL FB FLGD CL. 150 RF CS BODY,COMP,BALLP,209MA0506DFL14
