PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION,RECORD_TYPE,MODEL_CODE,ISODRAWINGSATTR1
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,8,EA,FLBL0AAA1000                                      ,,,,4/20/2015,150,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,4,EA,FLBL0AAA1000                                      ,,,,4/20/2015,200,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,0,EA,FLBL0AAA1000                                      ,,,,4/20/2015,350,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,FLBL0AAA1000                                      ,,,,4/20/2015,500,MM,,,,,FLANGE BLIND CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,14,EA,FLBL0AAA7000                                      ,,,,4/20/2015,50,MM,,,,,FLANGE BLIND CL. 150 RF A105 GALV,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,FLBL0AAA7000                                      ,,,,4/20/2015,100,MM,,,,,FLANGE BLIND CL. 150 RF A105 GALV,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1,EA,FLBL0AAA7000                                      ,,,,4/20/2015,150,MM,,,,,FLANGE BLIND CL. 150 RF A105 GALV,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,7,EA,FLBL0BAA1000                                      ,,,,4/20/2015,200,MM,,,,,FLANGE BLIND CL. 300 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,47,EA,FLLJ0AAA1000                                      ,,,,4/20/2015,50,MM,,,,,FLANGE LAP-JOINT CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,3,EA,FLLJ0AAA1000                                      ,,,,4/20/2015,80,MM,,,,,FLANGE LAP-JOINT CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,4,EA,FLLJ0AAA1000                                      ,,,,4/20/2015,100,MM,,,,,FLANGE LAP-JOINT CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,6,EA,FLLJ0ACA1000                                      ,,,,4/20/2015,50,MM,,,,,FLANGE LAP-JOINT CL. 150 FF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,18,EA,FLLJ0ACA1000                                      ,,,,4/20/2015,100,MM,,,,,FLANGE LAP-JOINT CL. 150 FF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,87,EA,FLLJ0ACA1000                                      ,,,,4/20/2015,150,MM,,,,,FLANGE LAP-JOINT CL. 150 FF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,30,EA,FLLJ0ACA1000                                      ,,,,4/20/2015,200,MM,,,,,FLANGE LAP-JOINT CL. 150 FF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,43,EA,FLLJ0ACA1000                                      ,,,,4/20/2015,250,MM,,,,,FLANGE LAP-JOINT CL. 150 FF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,7,EA,FLSO0BAA1000                                      ,,,,4/20/2015,50,MM,,,,,FLANGE SLIP-ON CL. 300 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,581,EA,FLSW0AAA1000                                      ,,,,4/20/2015,20,MM,,,,,FLANGE SW CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,1103,EA,FLSW0AAA1000                                      ,,,,4/20/2015,25,MM,,,,,FLANGE SW CL. 150 RF A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,FLTH0BAA7000                                      ,,,,4/20/2015,20,MM,,,,,FLANGE THRD CL. 300 RF A105 GALV,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,156,EA,FLTH0BAA7000                                      ,,,,4/20/2015,25,MM,,,,,FLANGE THRD CL. 300 RF A105 GALV,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,2,EA,FLWNL2AA1000                                      ,,,,4/20/2015,650,MM,,,,,"FLANGE WELDING NECK CL. 150, SERIES A RF SCH.STD A105",,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,4,EA,FLWNL2AA1000                                      ,,,,4/20/2015,750,MM,,,,,"FLANGE WELDING NECK CL. 150, SERIES A RF SCH.STD A105",,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,118,EA,FLWNLAAA1000                                      ,,,,4/20/2015,50,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,58,EA,FLWNLAAA1000                                      ,,,,4/20/2015,80,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,91,EA,FLWNLAAA1000                                      ,,,,4/20/2015,100,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,74,EA,FLWNLAAA1000                                      ,,,,4/20/2015,150,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,36,EA,FLWNLAAA1000                                      ,,,,4/20/2015,200,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,18,EA,FLWNLAAA1000                                      ,,,,4/20/2015,250,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,18,EA,FLWNLAAA1000                                      ,,,,4/20/2015,300,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,10,EA,FLWNLAAA1000                                      ,,,,4/20/2015,350,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
NL006945,P,SITE,BULK-REQ,,KB064-L21000,KB064-L21000,,79,EA,FLWNLAAA1000                                      ,,,,4/20/2015,400,MM,,,,,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,,,
