SOURCETYPE,DISIPLINE,MASTER REF,UNIT,AREA,ISO,ITR,IDENTCODE,GROUP,PART,TAGNUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,09MA,PP5120P23,209MA0322SCL28,TAG WO MS, ,PG,GP,GKFR0A0Z3000,,, , ,GKFR0A0Z3000,GASKET FLAT RING CL. 150 CNAF,1,EA,
ISO,P,SITE,09MA,PP5120P23,209MA0314SCL15,TAG WO MS, ,PP,PS,PIPEL00AA0C0-80,80,, , ,PIPEL00AA0C0,PIPE WLD SCH.STD A53-GR.B,22.1,M,
ISO,P,SITE,09MA,PP5120P24,209MA0322SCL15,TAG WO MS, ,PF,FP,FLSW0AAA1000-20,20,, , ,FLSW0AAA1000,FLANGE SW CL. 150 RF A105,1,EA,
ISO,P,SITE,09MA,PP5120P24,209MA0322SCL16,TAG WO MS, ,PJ,EL,PNPPM00AB0S0-20,20,, , ,PNPPM00AB0S0,PIPE NIPPLE PBE L = 75 MM SCH.XS A106-GR.B,1,EA,
ISO,P,SITE,09MA,PP5120P24,209MA0322SCL18,TAG WO MS, ,PF,FP,FLBL0AAA1000-20,20,, , ,FLBL0AAA1000,FLANGE BLIND CL. 150 RF A105,1,EA,
ISO,P,SITE,09MA,PP5120P24,209MA0322SCL19,TAG WO MS, ,PJ,EL,BROS0H0A1000-50,50,, , ,BROS0H0A1000,BRANCH OUTLET SW CL. 3000 A105,1,EA,
ISO,P,SITE,09MA,PP5120P24,209MA0322SCL20,TAG WO MS, ,PP,PS,PIPEL00AA0C0-50,50,, , ,PIPEL00AA0C0,PIPE WLD SCH.STD A53-GR.B,30.5,M,
ISO,P,SITE,09MA,PP5120P23,209MA0322SCL23,TAG WO MS, ,PP,PS,PIPEL00AA0C0-50,50,, , ,PIPEL00AA0C0,PIPE WLD SCH.STD A53-GR.B,33,M,
ISO,P,SITE,09MA,PP5120P23,209MA0322SCL25,TAG WO MS, ,PP,PS,PIPEL00AA0C0-50,50,, , ,PIPEL00AA0C0,PIPE WLD SCH.STD A53-GR.B,22.5,M,
ISO,P,SITE,09MA,PP5120P27,209MA0314SCL07,TAG WO MS, ,PJ,EL,PNPPM00AB050-20,20,, , ,PNPPM00AB050,PIPE NIPPLE PBE L = 175 MM SCH.XS A106-GR.B,1,EA,
ISO,P,SITE,09MA,PP5120P27,209MA0314SCL08,TAG WO MS, ,PP,PS,PIPEL00AA0C0-80,80,, , ,PIPEL00AA0C0,PIPE WLD SCH.STD A53-GR.B,45.3,M,
ISO,P,SITE,09MA,PP5120P23,209MA0509NAG03,TAG WO MS, ,PJ,EL,BROBLL0A1000-400,400,, , ,BROBLL0A1000,BRANCH OUTLET BW SCH.STD X SCH.STD A105,1,EA,
ISO,P,SITE,09MA,PP5120P23,209MA0509NAG04,TAG WO MS, ,PF,FP,FLWNLAAA1000-250,250,, , ,FLWNLAAA1000,FLANGE WELDING NECK CL. 150 RF SCH.STD A105,1,EA,
ISO,P,SITE,09MA,PP5120P24,209MA0510NAG04,TAG WO MS, ,PP,PS,PIPEL00AA0C0-200,200,, , ,PIPEL00AA0C0,PIPE WLD SCH.STD A53-GR.B,41,M,
ISO,P,SITE,09MA,PP5120P22,209MA0715IAS02,TAG WO MS, ,PL,LM,STBT000Y1000,,, , ,STBT000Y1000,STUDBOLT WITH 2 NUTS A193-B7 / A194-2H  PTFE COATED,8,EA,
ISO,P,SITE,09MA,PP5120P23,209MA0715IAS03,TAG WO MS, ,PP,PS,PIPEP00DB0C0-100,100,, , ,PIPEP00DB0C0,PIPE WLD SCH.10S A312-TP304L,51.4,M,
ISO,P,SITE,09MA,PP5120P24,209MA0715IAS13,TAG WO MS, ,PJ,EL,E90BP00DB0C0-80,80,, , ,E90BP00DB0C0,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304L,6,EA,
ISO,P,SITE,09MA,PP5120P25,209MA0715IAS15,TAG WO MS, ,PP,PS,PIPEP00DB0C0-50,50,, , ,PIPEP00DB0C0,PIPE WLD SCH.10S A312-TP304L,51.4,M,
