PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT_NO,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-686,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-687,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-688,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-689,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-690,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-691,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-692,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-693,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-694,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-695,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
